id,text,anger,disgust,fear,joy,sadness,surprise,language,processed_text
hau_train_track_a_00001,"Kotu Ta Yi Hukunci Kan Shari'ar Zaben Dan Majalisar PDP, Ta Yi Hukuncin Bazata",0,0,0,0,0,1,hau,kotu ta yi hukunci kan shariar zaben dan majalisar pdp ta yi hukuncin bazata
hau_train_track_a_00002,"Toh fah inji 'yan magana suka ce """"""""ana wata ga wata""""""""🤣😂",0,0,0,0,0,1,hau,toh fah inji yan magana suka ce ana wata ga wata🤣😂
hau_train_track_a_00003,Bincike ya nuna yan Najeriya sun fi damuwa da rashin tsaro da talauci fiye da korona,0,0,1,0,1,0,hau,bincike ya nuna yan najeriya sun fi damuwa da rashin tsaro da talauci fiye da korona
hau_train_track_a_00004,Kwamishina Ya Musanta Rahoton Masari Ya Cire Kusan Miliyan N500m Don Tarban Buhari,0,0,0,0,0,0,hau,kwamishina ya musanta rahoton masari ya cire kusan miliyan n500m don tarban buhari
hau_train_track_a_00005,Innalillahi wa inna ilaihir raji'un: Allah ya yi wa mahaifiyar Halima Atete rasuwa,0,0,0,0,1,0,hau,innalillahi wa inna ilaihir rajiun allah ya yi wa mahaifiyar halima atete rasuwa
hau_train_track_a_00006,gsky ne wanan daman temakon allah muke so kuma atiku shine ze zama sila allah yasaka da alheri atiku up up atiku️️,0,0,0,1,0,0,hau,gsky ne wanan daman temakon allah muke so kuma atiku shine ze zama sila allah yasaka da alheri atiku up up atiku️️
hau_train_track_a_00007,Allah Yasa Yadawo Shekanke in banda tsiya miyake tsinanawa Yan Nigeria🙄🙄🙄,1,0,0,0,0,0,hau,allah yasa yadawo shekanke in banda tsiya miyake tsinanawa yan nigeria🙄🙄🙄
hau_train_track_a_00008,Duk abun da zakuyi wlh duniyar gaba daya sai kunbarta bama mulkin kadai ba marasa kishi kawai komai baku kirkiraras sai idan wani sha'ani na addininku yazo azzaluman ban da akayi edi dai sai munyi muga aban da zai hana mu☹️☹️☹️☹️ boss mustapha kake ko wa😞,1,0,0,0,0,0,hau,duk abun da zakuyi wlh duniyar gaba daya sai kunbarta bama mulkin kadai ba marasa kishi kawai komai baku kirkiraras sai idan wani shaani na addininku yazo azzaluman ban da akayi edi dai sai munyi muga aban da zai hana mu☹️☹️☹️☹️ boss mustapha kake ko wa😞
hau_train_track_a_00009,abun mamaki bata karewah,0,0,0,0,0,1,hau,abun mamaki bata karewah
hau_train_track_a_00010,Ramadan: Kalli yadda Sarkin Kano yake karatun Al-Qur’ani a Masallacin Annabi (SA.W),0,0,0,0,0,1,hau,ramadan kalli yadda sarkin kano yake karatun alqur’ani a masallacin annabi saw
hau_train_track_a_00011,allah yajikanshi allah yagafarta mashi allah yasa karshen wahalar kenan dasauran musulmi,0,0,0,0,1,0,hau,allah yajikanshi allah yagafarta mashi allah yasa karshen wahalar kenan dasauran musulmi
hau_train_track_a_00012,"Yaron yayi kashi a pampas din sa, kuma bata dauke ba, yana nan tsakar ɗaki.",0,1,0,0,0,0,hau,yaron yayi kashi a pampas din sa kuma bata dauke ba yana nan tsakar ɗaki
hau_train_track_a_00013,"Keƙe da ƙeƙe: Bayan janye takara, Adamu Garba ya fidda sunayen wadanda suka tara masa N83.2m",0,0,0,0,0,1,hau,keƙe da ƙeƙe bayan janye takara adamu garba ya fidda sunayen wadanda suka tara masa n832m
hau_train_track_a_00014,duk sanda naga irin wannan labari ina murna da kokarin irin wanna mutane sannan ina tausayawa shugabanninmu domin yawancin su basa tsoron haduwa da ubangijinmu allah ya isar mana,1,0,0,1,1,0,hau,duk sanda naga irin wannan labari ina murna da kokarin irin wanna mutane sannan ina tausayawa shugabanninmu domin yawancin su basa tsoron haduwa da ubangijinmu allah ya isar mana
hau_train_track_a_00015,shege ka fasadan yarinya munjima muna jinka karka fasa kaji,1,0,0,0,0,0,hau,shege ka fasadan yarinya munjima muna jinka karka fasa kaji
hau_train_track_a_00016,Zasuci broubansune 😡😢😡😢 jahilai na asara,1,0,0,0,0,0,hau,zasuci broubansune 😡😢😡😢 jahilai na asara
hau_train_track_a_00017,allah duk wanda yakawoma musulunci wannan allah kayimuna maganin su bakidaya,0,0,1,0,0,0,hau,allah duk wanda yakawoma musulunci wannan allah kayimuna maganin su bakidaya
hau_train_track_a_00018,"TO ALLAH SUBHANAHU WATA'ALA YADUBEMU DA IDON RAHMA YAKAWOMANA KARSHEN WANNAN TA'ADDANCIN, YAHAYYU YA QAYYOOM. 👌👏👏👏",0,0,1,0,1,0,hau,to allah subhanahu wataala yadubemu da idon rahma yakawomana karshen wannan taaddancin yahayyu ya qayyoom 👌👏👏👏
hau_train_track_a_00019,alhamdullilah albarkan dake ciki allah ya hada mu dashi allah yayi mana jagora yayi riko da hannayenmu wajen aikata alheri allah ya karbi ibadunmu ya yafe mana zunubanmu ya bamu hakuri da juriya wajen yin ibada ameen,0,0,0,0,0,0,hau,alhamdullilah albarkan dake ciki allah ya hada mu dashi allah yayi mana jagora yayi riko da hannayenmu wajen aikata alheri allah ya karbi ibadunmu ya yafe mana zunubanmu ya bamu hakuri da juriya wajen yin ibada ameen
hau_train_track_a_00020,Hhhhhhh kuna wuta yanzu naija 🇳🇬 🇳🇬,0,0,0,1,0,0,hau,hhhhhhh kuna wuta yanzu naija 🇳🇬 🇳🇬
hau_train_track_a_00021,zakaci kutumar ubanka wallahi idan lawakiri ya kama ka,1,1,0,0,0,0,hau,zakaci kutumar ubanka wallahi idan lawakiri ya kama ka
hau_train_track_a_00022,"Tun muna yara muke wasan ango da amarya, sai gashi Allah ya hada aurenmu yanzu - Amarya ta bada tarihin rayuwarsu",0,0,0,1,0,1,hau,tun muna yara muke wasan ango da amarya sai gashi allah ya hada aurenmu yanzu amarya ta bada tarihin rayuwarsu
hau_train_track_a_00023,Kwarkwata na fadowa daga gashin mahaukachin.,0,1,0,0,0,0,hau,kwarkwata na fadowa daga gashin mahaukachin
hau_train_track_a_00024,Buhari ya nada Karebo Samson a matsayin mukaddashin kwanturola Janar na hukumar kashe gobara,0,0,0,1,0,0,hau,buhari ya nada karebo samson a matsayin mukaddashin kwanturola janar na hukumar kashe gobara
hau_train_track_a_00025,Haka su Kace kina da girman kae idan kikayi post mutum yayi maki comment bakya reply bara naga da gaske suke Kokuma Karya suke 🤔🤔🤔,0,0,0,0,0,0,hau,haka su kace kina da girman kae idan kikayi post mutum yayi maki comment bakya reply bara naga da gaske suke kokuma karya suke 🤔🤔🤔
hau_train_track_a_00026,Masari ya baiwa masu garkuwa sa’o’i 48 su saki mutanen da suka sace ko su fuskanci fushin sa,1,0,0,0,0,0,hau,masari ya baiwa masu garkuwa sa’o’i 48 su saki mutanen da suka sace ko su fuskanci fushin sa
hau_train_track_a_00027,"Na matsu sosai, zan biya sadaki kuma zan ɗau nauyin komai, Wata kyakkyawar budurwa na neman mijin Aure",0,0,0,0,1,0,hau,na matsu sosai zan biya sadaki kuma zan ɗau nauyin komai wata kyakkyawar budurwa na neman mijin aure
hau_train_track_a_00028,Haba rahama me akayi akayi 550 keda ynx zaki iya mai da ninki ninkin ta ! Wuyar ta ki bada qofane pha wani ya shiga shikenan 😩,0,1,0,0,0,1,hau,haba rahama me akayi akayi 550 keda ynx zaki iya mai da ninki ninkin ta wuyar ta ki bada qofane pha wani ya shiga shikenan 😩
hau_train_track_a_00029,Allah kawo mana saukin wannan musiba🙏🏽,0,0,1,0,0,0,hau,allah kawo mana saukin wannan musiba🙏🏽
hau_train_track_a_00030,kuci Uwar mutumin nan kawai Babaa! Ya matsa maku 😭 ##URL##,1,0,0,0,0,0,hau,kuci uwar mutumin nan kawai babaa ya matsa maku 😭 url
hau_train_track_a_00031,alhamdulillah wlh nafi jin kowa dadi because dama sometimes sabo sukeyi,0,0,0,1,0,0,hau,alhamdulillah wlh nafi jin kowa dadi because dama sometimes sabo sukeyi
hau_train_track_a_00032,"Kujerun nan duk Gara tabi ta cinye katako, yadikan jiki duk sun fashe, kana zama ƙura zata biyo kayanka",0,1,0,0,0,0,hau,kujerun nan duk gara tabi ta cinye katako yadikan jiki duk sun fashe kana zama ƙura zata biyo kayanka
hau_train_track_a_00033,bansan meh yasa baamma duk lokacin da naga hoton mutumin nan seh zuciyata ta tsinke,0,0,0,0,1,0,hau,bansan meh yasa baamma duk lokacin da naga hoton mutumin nan seh zuciyata ta tsinke
hau_train_track_a_00034,An sayar mana da 'yancinmu': Wasu sojoji sun yi Allah-wadai da Buratai,1,1,0,0,0,0,hau,an sayar mana da yancinmu wasu sojoji sun yi allahwadai da buratai
hau_train_track_a_00035,Beran da mage ta kashe a daki tsutsa ta baibaye shi tana cin namansa,0,1,0,0,0,0,hau,beran da mage ta kashe a daki tsutsa ta baibaye shi tana cin namansa
hau_train_track_a_00036,"Sama da Kashi 75% Na Yan Najeriya Basa Jin Daɗin Gwamnatin Buhari, Sanatan APC",1,0,0,0,1,0,hau,sama da kashi 75 na yan najeriya basa jin daɗin gwamnatin buhari sanatan apc
hau_train_track_a_00037,Akwai damuwa fa😰 Allah shi yaye mana waɗan ga lalura,0,0,1,0,1,0,hau,akwai damuwa fa😰 allah shi yaye mana waɗan ga lalura
