id,text,anger,fear,joy,sadness,surprise,language,processed_text
eng_train_track_a_00001,"Colorado, middle of nowhere.",0,1,0,0,1,eng,colorado middle of nowhere
eng_train_track_a_00002,This involved swimming a pretty large lake that was over my head.,0,1,0,0,0,eng,this involved swimming a pretty large lake that was over my head
eng_train_track_a_00003,It was one of my most shameful experiences.,0,1,0,1,0,eng,it was one of my most shameful experiences
eng_train_track_a_00004,"After all, I had vegetables coming out my ears all for the benefit of the young prince.",0,0,0,0,0,eng,after all i had vegetables coming out my ears all for the benefit of the young prince
eng_train_track_a_00005,Then the screaming started.,0,1,0,1,1,eng,then the screaming started
eng_train_track_a_00006,"They don't fear death, and it seems they believe in reincarnation.",0,1,0,0,1,eng,they dont fear death and it seems they believe in reincarnation
eng_train_track_a_00007,You know what happens when I get one of these stupid ideas in my head.,1,1,0,0,0,eng,you know what happens when i get one of these stupid ideas in my head
eng_train_track_a_00008,My stomach even started giving me fits.,0,1,0,1,0,eng,my stomach even started giving me fits
eng_train_track_a_00009,"Well, as we're bowling, my dinner began to not sit well with me, and I had to run to the bathroom.",0,1,0,0,0,eng,well as were bowling my dinner began to not sit well with me and i had to run to the bathroom
eng_train_track_a_00010,Hondas are notoriously great cars for long trips for their dependability and great gas mileage.,0,0,1,0,0,eng,hondas are notoriously great cars for long trips for their dependability and great gas mileage
eng_train_track_a_00011,It's his reflection.,0,0,0,0,1,eng,its his reflection
eng_train_track_a_00012,"not mine, and not that horrible, but i was browsing the personnel files last week and noticed that my boss' birthday had occurred 3 days prior.",0,0,0,0,1,eng,not mine and not that horrible but i was browsing the personnel files last week and noticed that my boss birthday had occurred 3 days prior
eng_train_track_a_00013,"i pushed standing up for a while and emerald crowned, but got pretty tired and laid on the bed on my side while matthias held my leg up and that's how emerald came out!",0,0,1,0,0,eng,i pushed standing up for a while and emerald crowned but got pretty tired and laid on the bed on my side while matthias held my leg up and thats how emerald came out
eng_train_track_a_00014,"Now my parents live in the foothills, and the college is in a large valley.",0,0,0,0,0,eng,now my parents live in the foothills and the college is in a large valley
eng_train_track_a_00015,"Fortunately the kindly ajeoshis and ajummas that I rented the scooter from helped me get on a bus to the other ferry, but not before pulling me up a seat to thier table and shoving succulant watermelon in my face.",0,0,1,0,1,eng,fortunately the kindly ajeoshis and ajummas that i rented the scooter from helped me get on a bus to the other ferry but not before pulling me up a seat to thier table and shoving succulant watermelon in my face
eng_train_track_a_00016,I remember being scared shitless.,0,1,0,0,0,eng,i remember being scared shitless
eng_train_track_a_00017,That was the last time anyone saw her.,0,1,0,1,0,eng,that was the last time anyone saw her
eng_train_track_a_00018,The stone inside my heart was removed; ).,0,0,1,0,0,eng,the stone inside my heart was removed
eng_train_track_a_00019,"Not only was I not able to move, I smacked my head against the guy sitting in front me and things just got awkward.",1,1,0,0,0,eng,not only was i not able to move i smacked my head against the guy sitting in front me and things just got awkward
eng_train_track_a_00020,I didn't see any light yet it still seemed to glow.,0,1,0,0,1,eng,i didnt see any light yet it still seemed to glow
eng_train_track_a_00021,I unwrapped the candy and popped it into my mouth.,0,0,1,0,0,eng,i unwrapped the candy and popped it into my mouth
eng_train_track_a_00022,Remember the farm-ette?,0,0,1,0,1,eng,remember the farmette
eng_train_track_a_00023,I took offense to this because as a supervisor I wanted my team to be in good spirits and wanted them to love coming in to work and doing good things for the mission.,1,0,0,0,0,eng,i took offense to this because as a supervisor i wanted my team to be in good spirits and wanted them to love coming in to work and doing good things for the mission
eng_train_track_a_00024,""" She awoke from this odd dream and told her mum to wake up her sister.",0,1,0,0,1,eng,she awoke from this odd dream and told her mum to wake up her sister
eng_train_track_a_00025,It broke my heart and nearly ruined me.,0,1,0,1,0,eng,it broke my heart and nearly ruined me
eng_train_track_a_00026,"R-I get home and park, just when I think everything is about to turn around, I slip on the ice, and fall flat on my back.",0,1,0,0,1,eng,ri get home and park just when i think everything is about to turn around i slip on the ice and fall flat on my back
eng_train_track_a_00027,"She said that I shouldn't do ANYTHING with my finger, not even type.",0,1,0,0,0,eng,she said that i shouldnt do anything with my finger not even type
eng_train_track_a_00028,"It definitely makes my hand feel weird, and I haven't thrown up yet.",0,1,0,0,0,eng,it definitely makes my hand feel weird and i havent thrown up yet
eng_train_track_a_00029,Now when I have too much to do my brain just gets distracted by all the other jobs jostling for attention.,0,1,0,0,0,eng,now when i have too much to do my brain just gets distracted by all the other jobs jostling for attention
eng_train_track_a_00030,I expect them to come in the backdoor any second but I hear nothing.,0,1,0,0,1,eng,i expect them to come in the backdoor any second but i hear nothing
eng_train_track_a_00031,The rattling in my brain clogs my nose.,0,1,0,1,0,eng,the rattling in my brain clogs my nose
eng_train_track_a_00032,I had to turn my head back into the stream of water just so I didn't burst out laughing and lose it right there.,0,0,1,0,0,eng,i had to turn my head back into the stream of water just so i didnt burst out laughing and lose it right there
eng_train_track_a_00033,"So when the laughing fit stopped, back to my seat I went with a big ole smile across my face.",0,0,1,0,0,eng,so when the laughing fit stopped back to my seat i went with a big ole smile across my face
eng_train_track_a_00034,"""I lost the towel.",0,1,0,0,0,eng,i lost the towel
eng_train_track_a_00035,Sets the power/entity free.,0,1,1,0,1,eng,sets the powerentity free
eng_train_track_a_00036,This is causing some of the puffiness in his face and sometimes causes a severe headache.,0,1,0,1,0,eng,this is causing some of the puffiness in his face and sometimes causes a severe headache
eng_train_track_a_00037,There was apparently then some awkward laughter and apologies and my grandpa and his friends were dismissed.,1,1,0,1,1,eng,there was apparently then some awkward laughter and apologies and my grandpa and his friends were dismissed
eng_train_track_a_00038,I don't stop.,0,1,0,0,0,eng,i dont stop
eng_train_track_a_00039,I got lie after lie.,1,1,0,1,0,eng,i got lie after lie
eng_train_track_a_00040,"After scratching my head, I headed to the front yard, where there are no trees, on the off chance that something truly weird had caused a limb to plop down on my house.",0,1,0,0,1,eng,after scratching my head i headed to the front yard where there are no trees on the off chance that something truly weird had caused a limb to plop down on my house
eng_train_track_a_00041,"And I got ta tell you right here folks, that brings a tear to my eye.",0,0,1,1,0,eng,and i got ta tell you right here folks that brings a tear to my eye
eng_train_track_a_00042,I'm feeling my eyes drift a bit so I guess I better attempt to try to go to sleep... I have to go to my mom's work at 7 to help her out.,0,1,0,1,0,eng,im feeling my eyes drift a bit so i guess i better attempt to try to go to sleep i have to go to my moms work at 7 to help her out
eng_train_track_a_00043,I've never met any of the other members but we all send each other x-mas cards &amp; random stuff.,0,0,1,0,1,eng,ive never met any of the other members but we all send each other xmas cards amp random stuff
eng_train_track_a_00044,The last week I've gone to bed at 7 every morning with house music blasting in my ear and have woken up with only an appetite for more.,0,0,1,0,0,eng,the last week ive gone to bed at 7 every morning with house music blasting in my ear and have woken up with only an appetite for more
eng_train_track_a_00045,It was one of the most spiritual moments of my life.,0,0,1,0,1,eng,it was one of the most spiritual moments of my life
eng_train_track_a_00046,I definitely ended up with a plastic burn on my elbow.,0,1,0,0,0,eng,i definitely ended up with a plastic burn on my elbow
eng_train_track_a_00047,"As I started to jog easily to the starting line, my leg felt a little stiff and my shin was hurting a bit.",0,1,0,1,0,eng,as i started to jog easily to the starting line my leg felt a little stiff and my shin was hurting a bit
eng_train_track_a_00048,"i asked if anyone else just saw that and right on queue my best friend says ""that hand just reach out of the entertainment center?",0,1,0,0,1,eng,i asked if anyone else just saw that and right on queue my best friend says that hand just reach out of the entertainment center
eng_train_track_a_00049,"I started to grip my sheets, barely breathing as my mind raced and my eyes focused, not physically seeing anything out of the ordinary as the sirens wailed outside my apartment, the 35th floor should have been enough distance to drown out the sound, but it wasn't, and I shut my eyes, leaping to the lightswitch.",0,1,0,0,0,eng,i started to grip my sheets barely breathing as my mind raced and my eyes focused not physically seeing anything out of the ordinary as the sirens wailed outside my apartment the 35th floor should have been enough distance to drown out the sound but it wasnt and i shut my eyes leaping to the lightswitch
eng_train_track_a_00050,I had a chocolate and got up my nerve to ask about the games.,0,1,1,0,0,eng,i had a chocolate and got up my nerve to ask about the games
eng_train_track_a_00051,painted on my face.,0,0,0,0,0,eng,painted on my face
eng_train_track_a_00052,Nothing behind me either.,0,1,0,0,1,eng,nothing behind me either
eng_train_track_a_00053,It felt so unreal...,0,1,0,0,1,eng,it felt so unreal
eng_train_track_a_00054,She left the room and went downstairs.,0,0,0,0,0,eng,she left the room and went downstairs
eng_train_track_a_00055,All of it on top of my head.,0,1,0,0,0,eng,all of it on top of my head
eng_train_track_a_00056,I went into the closet to investigate and found nothing... /chills,0,1,0,0,1,eng,i went into the closet to investigate and found nothing chills
eng_train_track_a_00057,I'm trying to work and accomplish things and train this other guy on how to help me with my job and I can't even move my head for fear of puking on my desk.,0,1,0,0,0,eng,im trying to work and accomplish things and train this other guy on how to help me with my job and i cant even move my head for fear of puking on my desk
eng_train_track_a_00058,Break my heart a thousand times and I realized that sometimes it really still hurts...,0,0,0,1,0,eng,break my heart a thousand times and i realized that sometimes it really still hurts
eng_train_track_a_00059,"Ah, to close my eyes and let time fly by, Because there's so much to gain By forgetting these dreams driving me insane.",0,1,0,1,0,eng,ah to close my eyes and let time fly by because theres so much to gain by forgetting these dreams driving me insane
eng_train_track_a_00060,"And then we have the ultimately retarded `` Spanish Lesson '' ( which I kind of like because it's so entertainingly bad ) and `` Incredible, '' which just flat-out gets on my nerves.",1,0,0,0,0,eng,and then we have the ultimately retarded spanish lesson which i kind of like because its so entertainingly bad and incredible which just flatout gets on my nerves
eng_train_track_a_00061,' I chanted in my head.,0,0,0,0,0,eng,i chanted in my head
eng_train_track_a_00062,"Back to earth As I opened my eye, I was lying back on a hospital bed with my right leg elevated, cupped in the hands of the young Indian doctor who had been trying to save my life.",0,1,0,1,0,eng,back to earth as i opened my eye i was lying back on a hospital bed with my right leg elevated cupped in the hands of the young indian doctor who had been trying to save my life
eng_train_track_a_00063,This expert also was the ex-husband of the murdered woman.,0,1,0,1,1,eng,this expert also was the exhusband of the murdered woman
eng_train_track_a_00064,"I did manage to remember to hang out the washing, but only because the annoying beeping sound the washer makes when its finished a cycle finally filtered into my brain and started to irritate me enough that I couldn't ignore it any longer.",1,1,0,0,0,eng,i did manage to remember to hang out the washing but only because the annoying beeping sound the washer makes when its finished a cycle finally filtered into my brain and started to irritate me enough that i couldnt ignore it any longer
eng_train_track_a_00065,It cut through all the fear and anger in my brain.,1,1,0,0,0,eng,it cut through all the fear and anger in my brain
eng_train_track_a_00066,"Back in 2006 when I was in high school I took Earth Sciences, and in the spring I was on my teacher's computer when I came across a photo of me giving the thumbs up.",0,0,1,0,1,eng,back in 2006 when i was in high school i took earth sciences and in the spring i was on my teachers computer when i came across a photo of me giving the thumbs up
eng_train_track_a_00067,"But occasionally, my nerves still do get the best of me, and I start to flop around in the breathless panic of a fish pulled out of water and tossed onto the floor to die helplessly.",0,1,0,0,0,eng,but occasionally my nerves still do get the best of me and i start to flop around in the breathless panic of a fish pulled out of water and tossed onto the floor to die helplessly
eng_train_track_a_00068,The effect was a feeling I've described as running my hand along a cheese grater.,0,1,0,1,0,eng,the effect was a feeling ive described as running my hand along a cheese grater
eng_train_track_a_00069,asked a flustered girl that bumped into my arm.,0,1,0,0,0,eng,asked a flustered girl that bumped into my arm
eng_train_track_a_00070,A sharp stinging stripe across the backs of my legs.,0,1,0,1,0,eng,a sharp stinging stripe across the backs of my legs
eng_train_track_a_00071,I really have to watch my mouth.,0,0,0,0,0,eng,i really have to watch my mouth
eng_train_track_a_00072,"The Redmond Cycling Club that organizes this event, had made-to-order coldcut sandwiches and -- be still my heart -- ice-cold cans of Coca-Cola at the final aid station.",0,0,1,0,0,eng,the redmond cycling club that organizes this event had madetoorder coldcut sandwiches and be still my heart icecold cans of cocacola at the final aid station
eng_train_track_a_00073,i was walking around cursing the day in my head.,1,1,0,1,0,eng,i was walking around cursing the day in my head
eng_train_track_a_00074,I shook my head and willed every broken hearted thought to go away.,0,0,0,1,0,eng,i shook my head and willed every broken hearted thought to go away
eng_train_track_a_00075,"i hope whatever i did do today, the two paper 2s adn the reading of the ntoes adn the definitaions i recited, stick in my head and i do nt forget anything: ( sigh.",0,1,0,1,0,eng,i hope whatever i did do today the two paper 2s adn the reading of the ntoes adn the definitaions i recited stick in my head and i do nt forget anything sigh
eng_train_track_a_00076,"About 3 years ago I had a very vivid dream about my deceased aunt and uncle, Sylvia &amp; John.",0,0,0,1,1,eng,about 3 years ago i had a very vivid dream about my deceased aunt and uncle sylvia amp john
eng_train_track_a_00077,"It could have been my eye -- but my glasses probably blocked that from happening, and diverted the injury higher up on my head.",0,1,0,0,1,eng,it could have been my eye but my glasses probably blocked that from happening and diverted the injury higher up on my head
eng_train_track_a_00078,`` I went to put my hand in my pockets and realised what they'd done.,0,1,0,0,0,eng,i went to put my hand in my pockets and realised what theyd done
eng_train_track_a_00079,"but my heart pounded in my chest and i couldnt breath, couldnt even look at him.",0,1,0,0,0,eng,but my heart pounded in my chest and i couldnt breath couldnt even look at him
eng_train_track_a_00080,I was never so happy to have my feet on solid ground though.,0,0,1,0,0,eng,i was never so happy to have my feet on solid ground though
eng_train_track_a_00081,They don't seem to be evil or dangerous.,0,1,0,0,0,eng,they dont seem to be evil or dangerous
eng_train_track_a_00082,I always like to head out into the boonies after I have been away for a long time... to get my head straight.,0,0,1,0,0,eng,i always like to head out into the boonies after i have been away for a long time to get my head straight
eng_train_track_a_00083,Sage grabbed my toothbrush this morning and showed me how to brush my teeth.,0,0,0,0,0,eng,sage grabbed my toothbrush this morning and showed me how to brush my teeth
eng_train_track_a_00084,"I trust this man even less than the woman, but I can't put my finger on it.",0,1,0,0,0,eng,i trust this man even less than the woman but i cant put my finger on it
eng_train_track_a_00085,I guess i pointed to Jenny without hesitation.,0,0,0,0,0,eng,i guess i pointed to jenny without hesitation
eng_train_track_a_00086,We locked our door and kept our lights on the whole night and just watched movies until dawn.,0,1,0,0,0,eng,we locked our door and kept our lights on the whole night and just watched movies until dawn
eng_train_track_a_00087,Just doing something this stupid as a kid.,0,0,0,1,0,eng,just doing something this stupid as a kid
eng_train_track_a_00088,FISHIN '' I woke up in the morning my head was throbing black and blue eyed thought I'd died smashed up my TV set.,0,1,0,1,1,eng,fishin i woke up in the morning my head was throbing black and blue eyed thought id died smashed up my tv set
eng_train_track_a_00089,It was as if everything was silent for just a second.,0,1,0,0,1,eng,it was as if everything was silent for just a second
eng_train_track_a_00090,"I filled it out and tried to stay calm, but my legs were still shaking!",0,1,0,0,0,eng,i filled it out and tried to stay calm but my legs were still shaking
eng_train_track_a_00091,""" The man told her that he had and she said, ""Well, I might as well tell you the story.",0,0,0,0,1,eng,the man told her that he had and she said well i might as well tell you the story
eng_train_track_a_00092,"First, some background: i am a male, i live in Latvia, my father is a hunter and we occasionally go hunting during the weekends.",0,0,0,0,0,eng,first some background i am a male i live in latvia my father is a hunter and we occasionally go hunting during the weekends
eng_train_track_a_00093,"Needless to say, I turned her down.",0,0,0,0,0,eng,needless to say i turned her down
eng_train_track_a_00094,"After dragging myself through all of those sets, my stomach being upset, and my body feeling entirely fatigued $ the LAST thing I wanted to do was hop on the treadmill for some incline walking.",0,1,0,1,0,eng,after dragging myself through all of those sets my stomach being upset and my body feeling entirely fatigued the last thing i wanted to do was hop on the treadmill for some incline walking
